PdfType: replica
Format: lhagrid1
---
1.00000E-07 1.58489E-07 2.51189E-07 3.98107E-07 6.30957E-07 1.00000E-06 1.58489E-06 2.51189E-06 3.98107E-06 6.30957E-06 1.00000E-05 1.58489E-05 2.51189E-05 3.98107E-05 6.30957E-05 1.00000E-04 1.58489E-04 2.51189E-04 3.98107E-04 6.30957E-04 1.00000E-03 1.58489E-03 2.51189E-03 3.98107E-03 6.30957E-03 1.00000E-02 1.25893E-02 1.58489E-02 1.99526E-02 2.51189E-02 3.16228E-02 3.98107E-02 5.01187E-02 6.30957E-02 7.94328E-02 1.00000E-01 1.25900E-01 1.58500E-01 1.99500E-01 2.51200E-01 3.16200E-01 3.98100E-01 5.01200E-01 6.31000E-01 7.94300E-01 1.00000E+00
1.00000E+00 1.09854E+00 1.20679E+00 1.32571E+00 1.45635E+00 1.59986E+00 1.75751E+00 1.93070E+00 2.12095E+00 2.32995E+00 2.55955E+00 2.81177E+00 3.08884E+00 3.39322E+00 3.72759E+00 4.09492E+00 4.49843E+00 4.94171E+00 5.42868E+00 5.96362E+00 6.55129E+00 7.19686E+00 7.90604E+00 8.68511E+00 9.54095E+00 1.04811E+01 1.15140E+01 1.26486E+01 1.38950E+01 1.52642E+01 1.67683E+01 1.84207E+01 2.02359E+01 2.22300E+01 2.44205E+01 2.68270E+01 2.94705E+01 3.23746E+01 3.55648E+01 3.90694E+01 4.29193E+01 4.71487E+01 5.17947E+01 5.68987E+01 6.25055E+01 6.86649E+01 7.54312E+01 8.28643E+01 9.10298E+01 1.00000E+02
-5 -4 -3 -2 -1 0 1 2 3 4 5
0.00000E+00 0.00000E+00 -2.32946E-02 1.83760E+00 1.84292E+00 -6.69361E-01 1.83758E+00 1.84319E+00 -2.33030E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -2.22265E-02 1.65885E+00 1.66448E+00 -6.25855E-01 1.65878E+00 1.66464E+00 -2.22331E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -2.12613E-02 1.49718E+00 1.50313E+00 -5.86573E-01 1.49713E+00 1.50338E+00 -2.12637E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -2.03815E-02 1.35094E+00 1.35723E+00 -5.51136E-01 1.35095E+00 1.35770E+00 -2.03807E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -1.95686E-02 1.21863E+00 1.22528E+00 -5.19123E-01 1.21871E+00 1.22605E+00 -1.95664E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -1.88021E-02 1.09891E+00 1.10594E+00 -4.90080E-01 1.09905E+00 1.10703E+00 -1.87999E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -1.80591E-02 9.90575E-01 9.97989E-01 -4.63516E-01 9.90767E-01 9.99443E-01 -1.80577E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -1.73135E-02 8.92521E-01 9.00333E-01 -4.38894E-01 8.92771E-01 9.02220E-01 -1.73130E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -1.65340E-02 8.03772E-01 8.11982E-01 -4.15586E-01 8.04106E-01 8.14423E-01 -1.65343E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -1.56818E-02 7.23446E-01 7.32043E-01 -3.92810E-01 7.23913E-01 7.35224E-01 -1.56824E-02 0.00000E+00 0.00000E+00
